Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Market_Price,Cost_of_Cultivation,Revenue,Profit,ROI,Crop_encoded,State_encoded,Season_encoded
Arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796086957,250000.0,244365.0,199021.73924999998,-45343.260750000016,-18.555546313915666,0,2,4
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783,6200.0,71370.0,4404.6956546,-66965.3043454,-93.82836534314137,1,2,1
Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333,5300.0,40000.0,1263.1666649000001,-38736.8333351,-96.84208333775,2,2,1
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.051739,11000.0,155836.0,57618569.12900001,57462733.12900001,36873.85015593316,3,2,4
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091,52000.0,82200.0,21887.272732,-60312.727268,-73.37314752798054,4,2,1
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.293571429,250000.0,244365.0,323392.85725,79027.85725,32.340088494669864,0,12,4
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268235294,6200.0,71370.0,1663.0588228000001,-69706.9411772,-97.66980688972959,1,12,1
Arecanut,1997,Whole Year ,Kerala,76145.0,93995,3252.4,7246719.65,23604.95,1.147857143,250000.0,244365.0,286964.28575,42599.28574999998,17.43264614408773,0,13,4
Coconut ,1997,Whole Year ,Kerala,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054286,11000.0,155836.0,59136597.146,58980761.146,37847.96911240021,3,13,4
Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.73,2966.39,1.245714286,250000.0,244365.0,311428.57149999996,67063.57149999996,27.444016737257776,0,17,4
Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683,3818.2,82322.05,268.15,0.806666667,6200.0,71370.0,5001.3333354,-66368.6666646,-92.99238708785204,1,17,1
Castor seed,1997,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49,5300.0,40000.0,2597.0,-37403.0,-93.5075,2,17,2
Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.796666667,52000.0,82200.0,41426.666683999996,-40773.333316000004,-49.602595274939176,4,17,1
Arecanut,1997,Whole Year ,West Bengal,8058.0,12423,1852.9,766879.86,2497.98,1.691764706,250000.0,244365.0,422941.1765,178576.1765,73.077640619565,0,28,4
Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181,1852.9,345467.1,1125.3,0.777692308,6200.0,71370.0,4821.6923096,-66548.3076904,-93.24409092111532,1,28,4
Castor seed,1997,Whole Year ,West Bengal,660.0,46,1852.9,62812.2,204.6,0.07,5300.0,40000.0,371.00000000000006,-39629.0,-99.07249999999999,2,28,4
Coconut ,1997,Whole Year ,West Bengal,24273.0,306202300,1852.9,2310061.41,7524.63,13003.78778,11000.0,155836.0,143041665.58,142885829.58,91689.87241715651,3,28,4
Cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0,52000.0,82200.0,104000.0,21800.0,26.520681265206814,4,28,1
Arecanut,1998,Kharif     ,Puducherry,66.0,23,1434.5875,6520.8,19.14,0.35,250000.0,244365.0,87500.0,-156865.0,-64.1929081496941,0,21,1
Cotton(lint),1998,Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.84,52000.0,82200.0,43680.0,-38520.0,-46.86131386861314,4,21,3
