Opportunity ID,Investment Type,Sector / Industry,Location,Funding Stage,Expected ROI (%),Risk Level,Minimum Investment (USD),Time Horizon (Years),IRR / CAGR,ESG Score,Last Updated
OPP00002,Real Estate,AgriTech,Gujarat,,21.57,Medium,7172.41,3,16.23,2.7,2024-07-12
OPP00028,Real Estate,AgriTech,Madhya Pradesh,,32.25,High,6189.84,5,22.8,2.2,2025-04-18
OPP00049,Startup,AgriTech,Arunachal Pradesh,IPO,8.26,High,38065.95,5,5.16,1.6,2025-05-30
OPP00125,Startup,AgriTech,Assam,Series C,19.84,Low,29375.53,5,26.68,6.0,2024-10-04
OPP00132,Real Estate,AgriTech,Uttarakhand,,41.59,Low,7246.13,9,15.66,2.5,2024-11-30
OPP00147,Real Estate,AgriTech,West Bengal,,9.48,Medium,11114.47,9,7.65,7.7,2024-11-06
OPP00164,Real Estate,AgriTech,Uttarakhand,,31.22,High,13705.94,3,15.12,8.9,2025-03-05
OPP00165,Startup,AgriTech,Jharkhand,Series B,13.31,Medium,39133.47,9,14.56,9.7,2024-10-31
OPP00166,Startup,AgriTech,Uttarakhand,Series C,38.4,High,27959.37,1,15.96,5.5,2024-08-23
OPP00195,Real Estate,AgriTech,Haryana,,38.81,Medium,49487.63,6,12.32,6.8,2024-08-03
OPP00203,Real Estate,AgriTech,Uttarakhand,,42.2,High,37723.37,6,12.29,9.0,2025-02-27
OPP00209,Startup,AgriTech,Assam,Series B,5.94,High,29909.47,6,26.42,7.8,2024-09-30
OPP00241,Real Estate,AgriTech,Himachal Pradesh,,14.3,Low,42239.66,1,10.77,3.3,2025-06-24
OPP00257,Startup,AgriTech,Maharashtra,Series A,42.75,High,30124.62,5,28.44,3.9,2025-05-01
OPP00290,Startup,AgriTech,Assam,Public,19.63,Medium,43086.91,10,5.33,1.3,2025-01-14
OPP00313,Startup,AgriTech,Maharashtra,Series A,8.31,Low,12189.38,10,19.5,4.7,2024-10-09
OPP00318,Startup,AgriTech,Meghalaya,Public,42.86,Low,17673.06,4,28.28,6.5,2025-01-01
OPP00366,Real Estate,AgriTech,Odisha,,38.17,High,46676.12,7,11.53,9.0,2025-01-06
OPP00370,Startup,AgriTech,Mizoram,Public,17.3,High,8906.37,9,18.87,6.3,2025-05-13
OPP00385,Real Estate,AgriTech,Arunachal Pradesh,,43.64,High,14800.7,8,8.81,2.1,2024-11-15
OPP00423,Real Estate,AgriTech,Bihar,,39.4,High,5775.82,7,18.25,1.4,2025-04-28
OPP00425,Real Estate,AgriTech,Punjab,,35.03,High,38298.47,8,26.57,6.9,2024-07-07
OPP00439,Startup,AgriTech,Sikkim,IPO,37.3,High,37131.2,7,12.54,7.6,2025-03-27
OPP00474,Startup,AgriTech,Mizoram,Series B,34.49,High,14282.83,9,22.37,6.7,2025-04-20
OPP00492,Real Estate,AgriTech,Kerala,,18.96,Low,4629.95,3,28.61,3.0,2025-05-22
OPP00498,Real Estate,AgriTech,Madhya Pradesh,,23.87,Low,2933.99,2,15.84,9.3,2025-06-29
OPP00524,Real Estate,AgriTech,Uttarakhand,,13.41,Medium,3121.5,1,15.1,9.1,2025-01-24
OPP00553,Startup,AgriTech,Telangana,Seed,26.66,High,49174.04,4,14.71,7.5,2025-02-11
OPP00571,Startup,AgriTech,Andhra Pradesh,IPO,23.1,Low,24241.68,5,10.27,9.0,2024-07-30
