image_id,crop_type,disease_label,severity,day_of_year,avg_temp_C,rel_humidity_pct,rain_mm,ndvi,soil_moist_pct,light_lux
00001,apple,healthy,0,315,20.33,43.42,15.09,0.27,51.66,86328
00002,corn,mosaic,4,181,24.19,47.98,33.6,0.45,35.76,41029
00003,apple,mosaic,3,107,23.01,63.99,48.62,0.53,52.22,65779
00004,tomato,mosaic,1,308,20.2,34.06,27.39,0.63,45.88,91388
00005,corn,healthy,0,365,24.98,87.51,35.83,0.55,47.14,52387
00006,apple,healthy,0,72,21.49,89.58,42.97,0.5,20.15,19526
00007,apple,blight,3,185,34.51,82.49,30.64,0.84,20.4,23679
00008,tomato,blight,1,327,20.34,57.13,30.63,0.53,46.76,50621
00009,rice,mosaic,4,300,19.13,65.62,48.96,0.4,32.15,16290
00010,rice,healthy,0,284,24.59,51.97,43.61,0.43,11.55,71965
00011,corn,mildew,1,290,21.2,53.95,19.33,0.59,16.15,27082
00012,rice,healthy,0,346,27.89,63.36,21.93,0.37,37.99,101075
00013,tomato,healthy,0,143,11.49,81.98,7.55,0.7,27.16,29903
00014,tomato,rust,1,325,17.94,39.44,46.88,0.81,54.53,94844
00015,rice,rust,3,112,28.01,65.51,24.92,0.3,18.71,83072
00016,rice,mildew,4,361,31.64,42.25,8.35,0.63,25.69,49909
00017,rice,rust,4,51,33.79,85.34,22.48,0.35,11.76,88970
00018,apple,blight,4,259,31.21,91.91,17.09,0.4,48.43,84345
00019,rice,mosaic,1,262,25.64,99.99,1.22,0.72,31.51,26829
00020,corn,rust,2,174,32.7,84.59,7.16,0.74,21.93,95721
00021,rice,blight,2,141,31.15,65.82,10.34,0.84,8.85,101050
00022,apple,healthy,0,33,13.17,42.4,39.81,0.3,53.69,108764
00023,rice,healthy,0,127,17.57,35.15,16.57,0.35,10.61,58793
00024,tomato,mildew,1,258,22.92,76.05,12.47,0.72,16.64,23149
00025,corn,blight,3,365,17.8,74.81,43.57,0.29,5.76,77042
00026,apple,rust,2,106,28.83,81.21,33.42,0.72,7.78,45941
00027,corn,healthy,0,120,29.7,62.59,13.51,0.59,34.79,35841
00028,rice,mildew,2,289,34.45,97.35,10.62,0.51,15.39,41535
00029,apple,blight,2,277,19.93,55.87,22.69,0.41,56.24,33017
00030,corn,healthy,0,331,14.3,31.69,21.36,0.9,11.5,78203
00031,corn,healthy,0,236,13.2,86.06,8.35,0.47,50.6,27203
00032,corn,healthy,0,260,11.38,67.1,23.41,0.41,30.36,88639
00033,tomato,blight,2,313,23.11,80.81,46.2,0.84,37.52,78378
00034,tomato,blight,2,169,24.39,95.83,10.99,0.82,23.8,84080
00035,corn,blight,3,41,18.76,37.76,36.37,0.23,8.88,47086
00036,tomato,healthy,0,259,16.06,82.35,44.91,0.54,10.28,44032
00037,rice,mosaic,4,237,30.29,62.48,49.0,0.45,11.66,112758
00038,tomato,rust,3,13,10.4,99.75,23.45,0.41,47.32,91418
00039,tomato,mosaic,4,17,16.83,97.72,2.2,0.45,20.27,10137
00040,apple,healthy,0,324,34.78,51.16,46.49,0.3,58.67,90534
00041,rice,mildew,2,338,16.88,68.73,13.47,0.26,24.18,12627
00042,apple,mildew,4,16,14.37,87.58,31.85,0.26,48.44,50045
00043,rice,rust,1,163,15.02,53.11,31.45,0.65,9.46,104100
00044,tomato,healthy,0,226,31.71,91.05,47.89,0.85,23.88,92532
00045,rice,healthy,0,361,34.48,69.69,16.38,0.55,56.66,17702
00046,tomato,mosaic,1,18,15.73,96.09,36.7,0.52,6.65,118001
00047,rice,healthy,0,153,33.08,55.65,8.62,0.3,11.08,46794
00048,corn,healthy,0,9,16.99,98.82,22.16,0.25,43.81,73866
00049,corn,mosaic,4,188,28.43,77.25,44.0,0.24,8.09,28905
00050,apple,mildew,4,80,12.15,65.01,0.52,0.55,42.24,88966
00051,corn,healthy,0,8,17.12,56.14,0.75,0.53,30.55,77102
00052,apple,healthy,0,35,19.86,52.43,14.12,0.53,42.76,110953
00053,tomato,mosaic,2,329,32.38,94.45,22.18,0.64,29.76,85594
00054,corn,blight,2,248,12.75,64.32,16.14,0.76,13.4,104154
00055,rice,mosaic,4,312,27.32,76.35,29.43,0.75,53.83,91332
00056,corn,mosaic,3,293,34.16,79.44,35.05,0.64,5.46,67262
00057,rice,blight,4,232,22.28,33.7,32.79,0.56,30.21,85240
